user_id,signup_date,cohort_month,acquisition_channel,plan,age_group,city_tier,onboarding_steps_completed,sessions_first_30_days,retained_day7,retained_day14,retained_day30,churned_month1,estimated_ltv
USR000020,2023-08-16,2023-08,Email,Free,35-44,Tier 1,4,27,1,1,1,0,268.91
USR000021,2023-11-07,2023-11,Referral,Free,18-24,Tier 1,3,4,1,1,1,0,157.7
USR000022,2023-07-09,2023-07,Email,Basic,35-44,Tier 2,2,4,1,1,0,1,863.52
USR000023,2023-03-30,2023-03,Paid Search,Free,35-44,Tier 3,5,15,1,1,1,0,244.22
USR000024,2023-04-02,2023-04,Paid Search,Free,25-34,Tier 3,5,4,1,1,0,1,160.27
USR000025,2023-11-17,2023-11,Referral,Free,18-24,Tier 1,2,1,0,0,0,1,122.03
USR000026,2023-02-28,2023-02,Paid Search,Free,25-34,Tier 2,4,23,1,0,1,0,190.62
USR000027,2023-06-13,2023-06,Paid Search,Free,25-34,Tier 1,0,2,0,0,0,1,258.58
USR000028,2023-10-12,2023-10,Referral,Free,25-34,Tier 2,3,6,1,1,1,0,104.1
USR000029,2023-05-20,2023-05,Paid Search,Free,25-34,Tier 1,4,23,1,1,1,0,430.03
USR000030,2023-10-01,2023-10,Organic,Basic,35-44,Tier 3,2,4,1,0,0,1,1368.18
USR000031,2023-04-29,2023-04,Social Media,Basic,25-34,Tier 1,1,4,0,0,0,1,1124.37
USR000032,2023-04-07,2023-04,Paid Search,Basic,18-24,Tier 2,4,10,1,1,1,0,1385.2
USR000033,2023-12-16,2023-12,Referral,Basic,45+,Tier 2,5,5,1,1,1,0,1586.37
USR000034,2023-03-24,2023-03,Referral,Basic,35-44,Tier 1,3,4,1,0,0,1,1609.3
USR000035,2023-03-23,2023-03,Organic,Free,18-24,Tier 2,3,28,1,0,1,0,151.11
USR000036,2023-07-01,2023-07,Organic,Basic,35-44,Tier 2,5,15,1,1,1,0,1017.3
USR000037,2023-11-09,2023-11,Organic,Free,25-34,Tier 2,5,16,1,1,1,0,251.15
USR000038,2023-04-27,2023-04,Organic,Free,18-24,Tier 1,3,6,1,1,1,0,302.29
USR000039,2023-10-17,2023-10,Email,Basic,18-24,Tier 3,4,3,1,0,0,1,1396.79
USR000040,2023-08-09,2023-08,Organic,Pro,18-24,Tier 1,5,8,1,1,1,0,2909.87
USR000041,2023-06-24,2023-06,Paid Search,Free,25-34,Tier 1,2,18,1,0,1,0,177.67
USR000042,2023-02-21,2023-02,Paid Search,Free,35-44,Tier 1,5,3,1,0,0,1,202.58
USR000043,2023-09-22,2023-09,Social Media,Free,35-44,Tier 2,2,24,1,1,1,0,119.87
USR000044,2023-07-22,2023-07,Paid Search,Free,18-24,Tier 2,3,1,0,0,0,1,181.95
USR000045,2023-01-20,2023-01,Paid Search,Free,45+,Tier 2,2,24,1,0,1,0,266.94
USR000046,2023-10-23,2023-10,Social Media,Free,25-34,Tier 1,3,19,1,1,1,0,218.58
USR000047,2023-08-20,2023-08,Organic,Pro,25-34,Tier 1,1,3,1,1,1,0,2582.99
USR000048,2023-06-12,2023-06,Referral,Free,18-24,Tier 1,0,3,0,0,0,1,274.72
USR000049,2023-11-14,2023-11,Paid Search,Pro,25-34,Tier 1,5,3,1,1,0,1,2856.17
USR000050,2023-10-13,2023-10,Referral,Basic,45+,Tier 1,5,11,1,1,1,0,1645.63
USR000051,2023-02-02,2023-02,Email,Free,25-34,Tier 1,5,10,1,1,1,0,265.69
USR000052,2023-12-07,2023-12,Paid Search,Free,35-44,Tier 1,3,12,1,1,1,0,327.5
USR000053,2023-12-27,2023-12,Paid Search,Basic,35-44,Tier 2,2,30,1,1,1,0,1693.43
USR000054,2023-05-27,2023-05,Paid Search,Free,25-34,Tier 1,5,1,0,0,0,1,267.25
USR000055,2023-12-23,2023-12,Organic,Basic,25-34,Tier 3,2,24,1,1,1,0,1348.43
USR000056,2023-01-10,2023-01,Organic,Basic,18-24,Tier 2,5,4,1,1,0,1,1343.21
USR000057,2023-05-27,2023-05,Organic,Free,35-44,Tier 1,2,3,1,1,0,1,212.55
USR000058,2023-08-03,2023-08,Paid Search,Free,18-24,Tier 2,3,8,1,1,1,0,117.9
USR000059,2023-03-05,2023-03,Organic,Basic,18-24,Tier 2,1,4,0,0,0,1,1366.47
USR000060,2023-04-22,2023-04,Referral,Pro,25-34,Tier 3,3,8,1,1,1,0,3200.74
USR000061,2023-03-18,2023-03,Organic,Free,35-44,Tier 1,3,10,1,1,1,0,118.67
USR000062,2023-03-16,2023-03,Social Media,Free,35-44,Tier 1,5,1,0,0,0,1,281.31
USR000063,2023-08-06,2023-08,Paid Search,Free,18-24,Tier 3,5,1,0,0,0,1,279.79
USR000064,2023-03-17,2023-03,Social Media,Basic,18-24,Tier 2,4,1,0,0,0,1,1200.19
USR000065,2023-06-15,2023-06,Organic,Basic,18-24,Tier 1,0,11,1,1,1,0,1353.73
USR000066,2023-11-12,2023-11,Paid Search,Free,18-24,Tier 1,5,10,1,1,1,0,144.51
USR000067,2023-11-18,2023-11,Paid Search,Free,25-34,Tier 1,3,3,1,0,0,1,267.24
USR000068,2023-11-07,2023-11,Social Media,Free,25-34,Tier 1,3,12,1,1,1,0,74.05
USR000069,2023-03-30,2023-03,Social Media,Basic,35-44,Tier 1,4,3,1,1,0,1,1346.58
USR000070,2023-11-22,2023-11,Organic,Free,18-24,Tier 1,5,14,1,1,1,0,94.6
USR000071,2023-07-13,2023-07,Paid Search,Pro,45+,Tier 1,1,3,1,1,1,0,2704.75
USR000072,2023-06-10,2023-06,Social Media,Basic,25-34,Tier 3,5,2,1,0,0,1,826.53
USR000073,2023-03-08,2023-03,Paid Search,Basic,35-44,Tier 3,0,3,0,0,0,1,878.24
USR000074,2023-03-14,2023-03,Organic,Free,18-24,Tier 1,5,3,1,0,0,1,292.85
USR000075,2023-09-09,2023-09,Organic,Basic,25-34,Tier 1,5,7,1,1,1,0,1161.58
USR000076,2023-02-05,2023-02,Email,Basic,18-24,Tier 2,5,20,1,1,1,0,1426.57
USR000077,2023-02-03,2023-02,Organic,Free,35-44,Tier 1,2,17,1,1,1,0,88.53
USR000078,2023-01-02,2023-01,Organic,Free,18-24,Tier 3,4,30,1,1,1,0,52.02
USR000079,2023-10-09,2023-10,Paid Search,Basic,18-24,Tier 3,5,1,0,0,0,1,1471.52
USR000080,2023-12-18,2023-12,Organic,Free,25-34,Tier 2,5,3,1,1,0,1,216.76
USR000081,2023-03-18,2023-03,Social Media,Free,25-34,Tier 3,4,4,1,1,0,1,161.3
USR000082,2023-05-16,2023-05,Organic,Free,35-44,Tier 1,3,22,1,1,1,0,389.49
USR000083,2023-01-01,2023-01,Social Media,Basic,18-24,Tier 1,2,25,1,1,1,0,922.96
USR000084,2023-03-23,2023-03,Paid Search,Free,18-24,Tier 1,3,14,1,1,1,0,246.21
USR000085,2023-01-04,2023-01,Organic,Free,18-24,Tier 3,4,8,1,1,1,0,181.76
USR000086,2023-03-14,2023-03,Social Media,Free,25-34,Tier 2,2,9,1,1,1,0,135.91
USR000087,2023-12-19,2023-12,Paid Search,Free,25-34,Tier 1,5,5,1,0,1,0,269.22
USR000088,2023-11-18,2023-11,Referral,Basic,25-34,Tier 3,5,10,1,1,1,0,1089.87
USR000089,2023-04-05,2023-04,Organic,Free,25-34,Tier 1,5,3,1,1,0,1,137.47
USR000090,2023-04-04,2023-04,Social Media,Pro,25-34,Tier 3,4,8,1,1,1,0,2508.05
USR000091,2023-03-15,2023-03,Paid Search,Free,35-44,Tier 3,5,17,1,1,1,0,178.84
USR000092,2023-09-07,2023-09,Social Media,Free,25-34,Tier 2,1,4,0,0,0,1,279.0
USR000093,2023-04-09,2023-04,Organic,Free,25-34,Tier 3,3,2,1,0,0,1,202.9
USR000094,2023-03-04,2023-03,Email,Free,45+,Tier 3,5,2,1,1,0,1,112.1
USR000095,2023-04-07,2023-04,Organic,Free,35-44,Tier 1,5,1,0,0,0,1,130.8
USR000096,2023-04-13,2023-04,Organic,Free,25-34,Tier 1,4,4,1,1,0,1,203.57
USR000097,2023-06-30,2023-06,Referral,Free,45+,Tier 1,0,2,0,0,0,1,54.66
USR000098,2023-10-25,2023-10,Email,Basic,45+,Tier 1,5,12,1,1,1,0,915.1
USR000099,2023-07-08,2023-07,Paid Search,Basic,25-34,Tier 2,5,18,1,0,1,0,1588.19
USR000100,2023-01-15,2023-01,Paid Search,Basic,25-34,Tier 3,0,3,0,0,0,1,1330.93
USR000101,2023-12-20,2023-12,Email,Basic,18-24,Tier 1,4,13,1,1,1,0,905.75
USR000102,2023-05-16,2023-05,Paid Search,Basic,18-24,Tier 1,5,5,1,1,1,0,1255.65
USR000103,2023-02-06,2023-02,Referral,Basic,18-24,Tier 1,3,2,1,0,0,1,1243.55
USR000104,2023-03-09,2023-03,Social Media,Basic,25-34,Tier 3,0,2,0,0,0,1,1121.33
USR000105,2023-07-13,2023-07,Paid Search,Basic,18-24,Tier 3,4,3,1,1,1,0,1423.2
USR000106,2023-03-21,2023-03,Organic,Pro,25-34,Tier 1,3,11,1,1,1,0,2013.73
USR000107,2023-05-03,2023-05,Organic,Free,45+,Tier 3,1,1,0,0,0,1,151.29
USR000108,2023-11-23,2023-11,Social Media,Free,25-34,Tier 1,5,30,1,1,1,0,228.99
USR000109,2023-04-20,2023-04,Email,Basic,25-34,Tier 1,5,2,1,1,0,1,1233.32
USR000110,2023-05-25,2023-05,Paid Search,Basic,35-44,Tier 3,5,1,0,0,0,1,1429.47
USR000111,2023-03-31,2023-03,Organic,Free,35-44,Tier 1,1,2,0,0,0,1,60.82
USR000112,2023-02-14,2023-02,Organic,Free,18-24,Tier 3,3,14,1,1,1,0,308.86
USR000113,2023-03-31,2023-03,Paid Search,Basic,25-34,Tier 2,4,1,0,0,0,1,1551.0
USR000114,2023-07-01,2023-07,Organic,Free,35-44,Tier 2,4,4,1,1,1,0,175.45
USR000115,2023-06-11,2023-06,Social Media,Free,25-34,Tier 1,4,6,1,0,1,0,86.92
USR000116,2023-09-04,2023-09,Referral,Basic,18-24,Tier 1,4,21,1,1,1,0,1117.4
USR000117,2023-05-16,2023-05,Organic,Free,35-44,Tier 2,4,17,1,1,1,0,152.16
USR000118,2023-08-21,2023-08,Social Media,Basic,45+,Tier 2,1,17,1,1,1,0,1075.26
USR000119,2023-09-02,2023-09,Referral,Basic,25-34,Tier 1,2,23,1,0,1,0,1072.98
USR000120,2023-11-05,2023-11,Organic,Pro,18-24,Tier 2,5,3,1,1,1,0,3087.92
USR000121,2023-04-06,2023-04,Social Media,Pro,25-34,Tier 1,2,11,1,1,1,0,3111.8
USR000122,2023-03-21,2023-03,Social Media,Free,25-34,Tier 2,2,2,1,0,0,1,41.68
USR000123,2023-05-23,2023-05,Paid Search,Basic,25-34,Tier 2,4,18,1,1,1,0,1523.4
USR000124,2023-05-12,2023-05,Paid Search,Pro,18-24,Tier 3,3,4,1,1,0,1,2687.6
USR000125,2023-07-06,2023-07,Organic,Pro,35-44,Tier 2,3,4,1,1,0,1,3028.26
USR000126,2023-10-21,2023-10,Social Media,Free,18-24,Tier 3,5,1,0,0,0,1,266.54
USR000127,2023-11-07,2023-11,Referral,Free,25-34,Tier 3,5,26,1,1,1,0,96.16
USR000128,2023-01-02,2023-01,Social Media,Free,35-44,Tier 2,2,1,0,0,0,1,237.65
USR000129,2023-11-26,2023-11,Email,Basic,35-44,Tier 2,5,2,1,1,0,1,1255.75
USR000130,2023-01-23,2023-01,Paid Search,Free,25-34,Tier 3,5,8,1,0,1,0,192.52
USR000131,2023-02-14,2023-02,Organic,Free,25-34,Tier 2,2,3,1,1,0,1,298.28
USR000132,2023-02-12,2023-02,Referral,Basic,35-44,Tier 1,5,5,1,1,1,0,1722.97
USR000133,2023-09-20,2023-09,Paid Search,Free,25-34,Tier 2,4,22,1,1,1,0,275.21
USR000134,2023-03-29,2023-03,Paid Search,Basic,18-24,Tier 2,3,4,1,1,0,1,815.24
USR000135,2023-11-14,2023-11,Paid Search,Free,25-34,Tier 2,4,20,1,0,1,0,142.31
USR000136,2023-04-22,2023-04,Email,Free,35-44,Tier 1,0,2,0,0,0,1,314.87
USR000137,2023-09-30,2023-09,Social Media,Free,25-34,Tier 1,5,24,1,1,1,0,282.13
USR000138,2023-02-02,2023-02,Social Media,Basic,25-34,Tier 2,3,28,1,1,1,0,1416.63
USR000139,2023-03-10,2023-03,Organic,Free,25-34,Tier 1,1,4,0,0,0,1,300.83
USR000140,2023-07-09,2023-07,Social Media,Free,35-44,Tier 2,5,1,0,0,0,1,293.23
USR000141,2023-09-25,2023-09,Email,Basic,25-34,Tier 1,0,4,1,1,1,0,1123.76
USR000142,2023-03-22,2023-03,Referral,Pro,25-34,Tier 1,5,21,1,1,1,0,2251.27
USR000143,2023-07-22,2023-07,Organic,Basic,18-24,Tier 2,2,18,1,1,1,0,629.56
USR000144,2023-08-31,2023-08,Paid Search,Free,35-44,Tier 3,5,4,1,1,1,0,249.41
USR000145,2023-03-21,2023-03,Paid Search,Basic,18-24,Tier 3,2,3,1,0,0,1,1374.47
USR000146,2023-08-29,2023-08,Referral,Free,25-34,Tier 3,1,1,0,0,0,1,277.53
USR000147,2023-12-12,2023-12,Paid Search,Basic,18-24,Tier 1,5,1,0,0,0,1,784.18
USR000148,2023-06-25,2023-06,Paid Search,Basic,45+,Tier 1,5,2,1,1,0,1,1556.42
USR000149,2023-02-04,2023-02,Paid Search,Basic,25-34,Tier 1,1,3,0,0,0,1,816.8
USR000150,2023-07-25,2023-07,Organic,Basic,18-24,Tier 1,5,1,0,0,0,1,629.57
USR000151,2023-05-27,2023-05,Organic,Free,35-44,Tier 2,3,4,1,0,0,1,72.41
USR000152,2023-03-11,2023-03,Referral,Free,18-24,Tier 3,3,5,1,1,1,0,211.32
USR000153,2023-10-29,2023-10,Referral,Basic,25-34,Tier 2,4,27,1,1,1,0,1421.74
USR000154,2023-11-19,2023-11,Organic,Free,25-34,Tier 1,2,2,1,1,0,1,133.58
USR000155,2023-11-23,2023-11,Social Media,Free,25-34,Tier 1,4,4,1,1,0,1,221.34
USR000156,2023-01-01,2023-01,Email,Free,25-34,Tier 3,3,7,1,1,1,0,130.37
USR000157,2023-02-06,2023-02,Paid Search,Pro,25-34,Tier 3,2,8,1,0,1,0,2448.72
USR000158,2023-10-27,2023-10,Organic,Basic,25-34,Tier 3,4,9,1,1,1,0,919.91
USR000159,2023-08-04,2023-08,Organic,Basic,18-24,Tier 2,5,1,0,0,0,1,1264.29
USR000160,2023-01-01,2023-01,Social Media,Free,25-34,Tier 1,5,10,1,1,1,0,236.87
USR000161,2023-02-14,2023-02,Referral,Basic,18-24,Tier 1,4,4,1,1,0,1,1219.65
USR000162,2023-06-07,2023-06,Paid Search,Basic,18-24,Tier 2,5,19,1,0,1,0,994.93
USR000163,2023-09-07,2023-09,Social Media,Basic,25-34,Tier 2,5,24,1,1,1,0,1620.0
USR000164,2023-08-14,2023-08,Paid Search,Free,25-34,Tier 1,2,1,0,0,0,1,373.71
USR000165,2023-06-01,2023-06,Email,Basic,18-24,Tier 1,5,2,1,1,0,1,1110.19
USR000166,2023-08-25,2023-08,Social Media,Free,18-24,Tier 2,4,9,1,0,1,0,123.39
USR000167,2023-01-30,2023-01,Paid Search,Free,25-34,Tier 1,3,21,1,1,1,0,89.11
USR000168,2023-03-03,2023-03,Organic,Free,45+,Tier 1,2,2,1,1,0,1,149.35
USR000169,2023-09-17,2023-09,Organic,Pro,18-24,Tier 1,5,14,1,1,1,0,2933.06
USR000170,2023-02-28,2023-02,Organic,Free,25-34,Tier 1,5,9,1,1,1,0,157.52
USR000171,2023-07-16,2023-07,Paid Search,Free,25-34,Tier 2,3,1,0,0,0,1,147.31
USR000172,2023-07-01,2023-07,Organic,Basic,25-34,Tier 1,3,15,1,1,1,0,1408.81
USR000173,2023-11-09,2023-11,Referral,Pro,18-24,Tier 2,1,2,0,0,0,1,3474.46
USR000174,2023-09-10,2023-09,Referral,Free,35-44,Tier 1,3,3,1,0,0,1,200.71
USR000175,2023-02-04,2023-02,Social Media,Free,25-34,Tier 1,3,2,1,1,0,1,226.31
USR000176,2023-03-05,2023-03,Paid Search,Free,18-24,Tier 1,4,4,1,1,1,0,164.36
USR000177,2023-01-25,2023-01,Paid Search,Free,25-34,Tier 1,5,3,1,1,0,1,110.96
USR000178,2023-05-23,2023-05,Referral,Free,18-24,Tier 1,3,14,1,1,1,0,248.73
USR000179,2023-12-20,2023-12,Email,Free,25-34,Tier 2,4,4,1,1,0,1,242.33
USR000180,2023-03-28,2023-03,Social Media,Pro,45+,Tier 3,3,14,1,1,1,0,1830.03
USR000181,2023-01-14,2023-01,Organic,Free,35-44,Tier 2,1,29,1,1,1,0,143.75
USR000182,2023-02-28,2023-02,Referral,Basic,25-34,Tier 2,5,3,1,1,0,1,1678.08
USR000183,2023-07-11,2023-07,Organic,Free,25-34,Tier 2,5,9,1,1,1,0,183.14
USR000184,2023-09-06,2023-09,Social Media,Free,18-24,Tier 2,3,3,1,1,1,0,125.29
USR000185,2023-12-13,2023-12,Email,Free,25-34,Tier 1,2,4,1,1,0,1,5.86
USR000186,2023-12-18,2023-12,Organic,Free,35-44,Tier 1,2,10,1,1,1,0,296.11
USR000187,2023-11-06,2023-11,Social Media,Pro,45+,Tier 1,4,12,1,1,1,0,2764.98
USR000188,2023-01-21,2023-01,Organic,Free,25-34,Tier 1,5,11,1,1,1,0,246.4
USR000189,2023-08-22,2023-08,Organic,Basic,35-44,Tier 1,5,9,1,1,1,0,1071.3
USR000190,2023-05-05,2023-05,Social Media,Free,25-34,Tier 3,5,29,1,1,1,0,148.53
USR000191,2023-01-12,2023-01,Social Media,Free,35-44,Tier 3,5,2,1,1,0,1,358.4
USR000192,2023-11-26,2023-11,Referral,Basic,35-44,Tier 2,3,5,1,1,1,0,1386.23
USR000193,2023-04-13,2023-04,Social Media,Free,18-24,Tier 2,5,5,1,1,1,0,281.52
USR000194,2023-04-16,2023-04,Social Media,Free,18-24,Tier 3,3,4,1,1,0,1,132.58
USR000195,2023-04-29,2023-04,Social Media,Free,18-24,Tier 1,1,5,1,0,1,0,176.18
USR000196,2023-02-03,2023-02,Social Media,Basic,25-34,Tier 1,5,30,1,1,1,0,1192.11
USR000197,2023-02-01,2023-02,Paid Search,Free,18-24,Tier 1,3,24,1,1,1,0,210.49
USR000198,2023-08-05,2023-08,Social Media,Free,25-34,Tier 1,4,27,1,0,1,0,260.22
USR000199,2023-02-20,2023-02,Organic,Free,25-34,Tier 2,4,23,1,1,1,0,242.94
USR000200,2023-11-25,2023-11,Email,Free,25-34,Tier 1,5,4,1,1,1,0,199.88
USR000201,2023-08-24,2023-08,Organic,Free,18-24,Tier 3,5,15,1,1,1,0,118.42
USR000202,2023-04-12,2023-04,Paid Search,Free,25-34,Tier 2,5,2,1,1,0,1,87.57
USR000203,2023-06-27,2023-06,Paid Search,Free,18-24,Tier 1,5,29,1,1,1,0,169.9
USR000204,2023-05-03,2023-05,Paid Search,Basic,18-24,Tier 1,0,2,0,0,0,1,1416.1
USR000205,2023-05-18,2023-05,Email,Free,18-24,Tier 2,5,4,1,1,0,1,233.16
USR000206,2023-03-09,2023-03,Social Media,Pro,18-24,Tier 1,2,4,1,0,0,1,3185.23
USR000207,2023-04-04,2023-04,Social Media,Pro,25-34,Tier 2,1,13,1,1,1,0,2992.9
USR000208,2023-03-28,2023-03,Referral,Pro,18-24,Tier 1,5,17,1,1,1,0,2050.65
USR000209,2023-01-16,2023-01,Organic,Free,18-24,Tier 3,5,1,0,0,0,1,176.07
USR000210,2023-12-09,2023-12,Organic,Free,25-34,Tier 1,3,3,1,0,0,1,161.62
USR000211,2023-01-26,2023-01,Paid Search,Basic,25-34,Tier 1,5,9,1,0,1,0,1366.76
USR000212,2023-01-06,2023-01,Paid Search,Free,18-24,Tier 2,4,30,1,1,1,0,270.96
USR000213,2023-09-17,2023-09,Social Media,Free,35-44,Tier 1,5,27,1,1,1,0,87.1
USR000214,2023-06-26,2023-06,Paid Search,Pro,35-44,Tier 1,4,13,1,1,1,0,3501.55
USR000215,2023-04-02,2023-04,Social Media,Free,25-34,Tier 2,5,3,1,0,1,0,0.0
USR000216,2023-01-28,2023-01,Social Media,Basic,25-34,Tier 1,5,6,1,1,1,0,1107.25
USR000217,2023-07-23,2023-07,Referral,Free,25-34,Tier 1,4,4,1,1,0,1,97.83
USR000218,2023-12-13,2023-12,Referral,Basic,45+,Tier 1,5,4,1,1,1,0,1495.67
USR000219,2023-07-25,2023-07,Referral,Free,35-44,Tier 2,3,4,1,1,0,1,201.1
USR000220,2023-05-11,2023-05,Paid Search,Free,25-34,Tier 3,3,14,1,1,1,0,239.2
USR000221,2023-04-10,2023-04,Referral,Pro,35-44,Tier 3,3,19,1,1,1,0,2693.15
USR000222,2023-08-19,2023-08,Referral,Basic,25-34,Tier 1,4,15,1,1,1,0,1753.71
USR000223,2023-10-10,2023-10,Social Media,Free,25-34,Tier 2,5,1,0,0,0,1,165.7
USR000224,2023-10-31,2023-10,Social Media,Free,45+,Tier 3,2,9,1,1,1,0,158.37
USR000225,2023-07-30,2023-07,Organic,Basic,45+,Tier 3,3,21,1,1,1,0,885.67
USR000226,2023-04-06,2023-04,Social Media,Free,35-44,Tier 3,3,4,1,1,0,1,132.04
USR000227,2023-02-01,2023-02,Paid Search,Free,18-24,Tier 2,4,1,0,0,0,1,81.32
USR000228,2023-09-13,2023-09,Referral,Basic,18-24,Tier 1,1,5,1,1,1,0,1080.39
USR000229,2023-03-17,2023-03,Paid Search,Basic,25-34,Tier 3,5,28,1,1,1,0,1074.0
USR000230,2023-08-02,2023-08,Paid Search,Pro,18-24,Tier 1,5,6,1,1,1,0,2692.68
USR000231,2023-11-06,2023-11,Organic,Free,45+,Tier 3,5,2,1,1,0,1,144.57
USR000232,2023-09-28,2023-09,Paid Search,Pro,18-24,Tier 1,1,23,1,1,1,0,3312.59
USR000233,2023-03-24,2023-03,Paid Search,Free,18-24,Tier 1,5,11,1,1,1,0,295.43
USR000234,2023-01-19,2023-01,Social Media,Free,35-44,Tier 1,4,3,1,1,0,1,155.03
USR000235,2023-06-05,2023-06,Social Media,Free,25-34,Tier 1,4,4,1,1,0,1,188.68
USR000236,2023-03-18,2023-03,Social Media,Pro,18-24,Tier 1,5,18,1,1,1,0,2592.19
USR000237,2023-02-24,2023-02,Social Media,Free,18-24,Tier 2,5,10,1,1,1,0,204.55
USR000238,2023-07-31,2023-07,Organic,Basic,35-44,Tier 1,2,29,1,0,1,0,1529.84
USR000239,2023-02-23,2023-02,Paid Search,Free,35-44,Tier 1,5,1,0,0,0,1,116.0
USR000240,2023-02-02,2023-02,Paid Search,Basic,25-34,Tier 1,4,3,1,1,0,1,1591.92
USR000241,2023-05-11,2023-05,Social Media,Free,25-34,Tier 1,1,4,0,0,0,1,219.02
USR000242,2023-10-21,2023-10,Referral,Free,25-34,Tier 2,4,1,0,0,0,1,274.05
USR000243,2023-10-06,2023-10,Social Media,Basic,45+,Tier 1,3,3,1,1,0,1,1527.9
USR000244,2023-06-27,2023-06,Paid Search,Basic,18-24,Tier 1,5,5,1,1,1,0,942.11
USR000245,2023-10-26,2023-10,Paid Search,Free,35-44,Tier 2,3,24,1,1,1,0,58.13
USR000246,2023-08-19,2023-08,Social Media,Free,25-34,Tier 1,1,29,1,1,1,0,152.69
USR000247,2023-01-11,2023-01,Paid Search,Basic,18-24,Tier 1,5,2,1,1,0,1,1280.69
USR000248,2023-02-19,2023-02,Social Media,Basic,25-34,Tier 3,3,2,1,0,0,1,1487.86
USR000249,2023-06-30,2023-06,Social Media,Pro,35-44,Tier 3,5,16,1,1,1,0,3682.27
USR000250,2023-11-16,2023-11,Referral,Basic,25-34,Tier 2,5,2,1,1,0,1,1815.6
USR000251,2023-02-19,2023-02,Organic,Free,18-24,Tier 1,1,4,0,0,0,1,277.82
USR000252,2023-05-21,2023-05,Email,Free,18-24,Tier 3,4,17,1,1,1,0,49.18
USR000253,2023-02-06,2023-02,Organic,Free,45+,Tier 1,3,4,1,0,0,1,114.26
USR000254,2023-04-29,2023-04,Organic,Basic,45+,Tier 2,4,4,1,1,0,1,1225.68
USR000255,2023-08-01,2023-08,Organic,Basic,35-44,Tier 3,5,5,1,1,1,0,1721.89
USR000256,2023-12-23,2023-12,Referral,Basic,35-44,Tier 2,5,14,1,1,1,0,1204.24
USR000257,2023-02-04,2023-02,Paid Search,Free,35-44,Tier 2,4,1,0,0,0,1,115.89
USR000258,2023-12-02,2023-12,Email,Free,35-44,Tier 2,4,3,1,0,1,0,269.29
USR000259,2023-11-06,2023-11,Organic,Basic,35-44,Tier 2,5,3,1,0,0,1,1690.81
USR000260,2023-03-31,2023-03,Social Media,Free,35-44,Tier 2,2,4,1,0,0,1,303.78
USR000261,2023-01-22,2023-01,Social Media,Free,35-44,Tier 1,5,25,1,1,1,0,321.64
USR000262,2023-08-02,2023-08,Referral,Free,18-24,Tier 1,1,2,0,0,0,1,200.99
USR000263,2023-02-13,2023-02,Referral,Free,25-34,Tier 1,5,7,1,1,1,0,90.68
USR000264,2023-11-20,2023-11,Paid Search,Basic,45+,Tier 1,4,1,0,0,0,1,1331.41
USR000265,2023-11-11,2023-11,Email,Free,25-34,Tier 3,4,4,1,1,0,1,261.74
USR000266,2023-01-08,2023-01,Email,Free,35-44,Tier 2,1,3,0,0,0,1,70.45
USR000267,2023-08-02,2023-08,Organic,Pro,25-34,Tier 2,5,27,1,1,1,0,2535.97
USR000268,2023-11-26,2023-11,Paid Search,Basic,35-44,Tier 3,3,4,1,0,0,1,1445.51
